America/Santiago,Open,High,Low,Close,Volume
01.09.2025 00:00:00 UTC-04:00,1.17151,1.1716,1.16132,1.1633,0.14237217
02.09.2025 00:00:00 UTC-04:00,1.16332,1.16825,1.16084,1.16613,0.11459754
03.09.2025 00:00:00 UTC-04:00,1.16613,1.16696,1.16302,1.1657,0.08366408
04.09.2025 00:00:00 UTC-04:00,1.16569,1.17597,1.16526,1.17193,0.10295351
06.09.2025 00:00:00 UTC-04:00,1.17143,1.17217,1.17041,1.17126,0.0054823
07.09.2025 00:00:00 UTC-03:00,1.17127,1.17731,1.17051,1.17688,0.07425984
08.09.2025 00:00:00 UTC-03:00,1.17689,1.17803,1.16975,1.17025,0.10835144
09.09.2025 00:00:00 UTC-03:00,1.17025,1.17309,1.16828,1.17028,0.09874222
10.09.2025 00:00:00 UTC-03:00,1.17026,1.17464,1.16615,1.17334,0.11560635
11.09.2025 00:00:00 UTC-03:00,1.17333,1.17481,1.17014,1.17375,0.08933725
13.09.2025 00:00:00 UTC-03:00,1.17377,1.17404,1.17254,1.17259,0.00245674
14.09.2025 00:00:00 UTC-03:00,1.1726,1.17749,1.17164,1.17632,0.07267095
15.09.2025 00:00:00 UTC-03:00,1.17631,1.18786,1.17576,1.18714,0.13299152
16.09.2025 00:00:00 UTC-03:00,1.18714,1.19188,1.18083,1.18253,0.13531419
17.09.2025 00:00:00 UTC-03:00,1.18255,1.18485,1.17503,1.17891,0.16250219
18.09.2025 00:00:00 UTC-03:00,1.17893,1.17931,1.1729,1.17495,0.0946913
20.09.2025 00:00:00 UTC-03:00,1.17534,1.17534,1.17359,1.17368,0.00384304
21.09.2025 00:00:00 UTC-03:00,1.17367,1.18051,1.17264,1.18008,0.09239102
22.09.2025 00:00:00 UTC-03:00,1.18005,1.18203,1.17796,1.18155,0.09327641
23.09.2025 00:00:00 UTC-03:00,1.18158,1.18169,1.17285,1.17425,0.10722668
24.09.2025 00:00:00 UTC-03:00,1.17424,1.17543,1.16458,1.16621,0.11995091
25.09.2025 00:00:00 UTC-03:00,1.1662,1.17075,1.16582,1.17053,0.09245656
27.09.2025 00:00:00 UTC-03:00,1.17072,1.17101,1.17023,1.1705,0.00314913
28.09.2025 00:00:00 UTC-03:00,1.17052,1.17549,1.17047,1.17308,0.08831143
29.09.2025 00:00:00 UTC-03:00,1.17308,1.17617,1.17124,1.17347,0.09634986
30.09.2025 00:00:00 UTC-03:00,1.17347,1.17789,1.17157,1.17332,0.1336113
